wrkstat,partyid,polviews,happy,rincome,born,race,sex,degree,age,marital,hrs1,pres12
Working fulltime,"Ind,near dem",Conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,64,Married,40,No answer
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,30,Never married,48,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$6000 to 6999,Yes,Black,Female,High school,25,Never married,40,Obama
Working fulltime,Not str democrat,Slightly liberal,Not too happy,Not applicable,Yes,Black,Female,High school,48,Divorced,38,Obama
Keeping house,"Ind,near rep",Slghtly conservative,Pretty happy,Not applicable,No,White,Female,Lt high school,29,Married,Not applicable,Not applicable
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,Not applicable,No,White,Male,Graduate,23,Never married,53,Not applicable
Working fulltime,"Ind,near dem",Slightly liberal,Very happy,$25000 or more,Yes,White,Male,High school,44,Never married,60,Not applicable
Working fulltime,Not str democrat,Moderate,Very happy,$25000 or more,Yes,Black,Female,Graduate,55,Divorced,45,Obama
Working fulltime,"Ind,near rep",Moderate,Very happy,$25000 or more,Yes,White,Male,Bachelor,25,Never married,50,Romney
Working fulltime,Strong republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,59,Married,55,Romney
Working fulltime,Strong democrat,Conservative,Very happy,$25000 or more,Yes,Black,Male,Bachelor,60,Never married,40,Obama
Working parttime,Other party,Extremely liberal,Pretty happy,$15000 - 19999,Yes,White,Female,Bachelor,53,Married,32,Other candidate (specify)
Working fulltime,"Ind,near rep",Conservative,Pretty happy,Refused,Yes,White,Male,High school,46,Never married,56,Romney
Retired,"Ind,near dem",Moderate,Very happy,Not applicable,Yes,White,Female,High school,86,Married,Not applicable,No answer
Working parttime,Not str democrat,Moderate,Pretty happy,Don't know,Yes,Black,Female,Lt high school,29,Never married,25,Obama
Retired,"Ind,near rep",Don't know,Pretty happy,Not applicable,Yes,White,Female,High school,70,Widowed,Not applicable,Obama
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Female,Bachelor,50,Divorced,60,Obama
Retired,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Female,Bachelor,79,Widowed,Not applicable,Romney
Working fulltime,Independent,Slghtly conservative,Pretty happy,$20000 - 24999,No,White,Male,Bachelor,29,Never married,40,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,50,Divorced,50,Obama
Retired,"Ind,near dem",Liberal,Not too happy,Not applicable,Yes,White,Male,Bachelor,61,Never married,Not applicable,Obama
School,Independent,Don't know,Not too happy,Not applicable,No,White,Female,High school,23,Never married,Not applicable,Not applicable
Working parttime,Not str republican,Conservative,Very happy,$25000 or more,Yes,White,Female,High school,21,Never married,32,Not applicable
School,Not str republican,Slghtly conservative,Very happy,$20000 - 24999,Yes,White,Female,Junior college,29,Married,Not applicable,Romney
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,80,Widowed,Not applicable,5
Working fulltime,Strong republican,Slghtly conservative,Pretty happy,$15000 - 19999,Yes,White,Female,High school,25,Never married,40,Romney
Keeping house,Independent,Don't know,Not too happy,Not applicable,Yes,White,Female,Lt high school,71,Married,Not applicable,Not applicable
Retired,Independent,Moderate,Very happy,Not applicable,Yes,White,Female,High school,68,Married,Not applicable,5
Other,"Ind,near dem",Extrmly conservative,Not too happy,Not applicable,Yes,White,Male,High school,55,Never married,Not applicable,Not applicable
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,47,Married,60,Romney
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Male,Junior college,64,Divorced,Not applicable,Other candidate (specify)
Retired,Not str democrat,Conservative,Not too happy,Not applicable,No,White,Female,Lt high school,73,Never married,Not applicable,Obama
Retired,Not str republican,Don't know,Pretty happy,Not applicable,Yes,White,Female,High school,80,Divorced,Not applicable,Romney
"Unempl, laid off","Ind,near dem",Moderate,Not too happy,Not applicable,Yes,White,Female,Junior college,57,Divorced,Not applicable,Not applicable
Other,Strong democrat,Liberal,Not too happy,Not applicable,Yes,White,Female,Bachelor,55,Never married,Not applicable,Obama
Retired,Strong democrat,Slightly liberal,Pretty happy,Lt $1000,Yes,White,Female,High school,86,Divorced,Not applicable,Obama
Working fulltime,"Ind,near rep",Conservative,Very happy,$25000 or more,Yes,White,Male,Graduate,47,Never married,60,Not applicable
Working fulltime,"Ind,near dem",Liberal,Pretty happy,Refused,Yes,White,Male,Graduate,52,Married,40,Obama
Retired,"Ind,near rep",Conservative,Pretty happy,Not applicable,Yes,White,Female,Junior college,61,Separated,Not applicable,Romney
Working fulltime,Not str democrat,Liberal,Pretty happy,$20000 - 24999,Yes,White,Male,Bachelor,34,Divorced,43,Obama
Retired,Not str democrat,Conservative,Pretty happy,Not applicable,Yes,White,Male,Junior college,65,Married,Not applicable,Not applicable
Temp not working,"Ind,near dem",Liberal,Pretty happy,$4000 to 4999,Yes,White,Female,High school,69,Married,Not applicable,Obama
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Male,Graduate,53,Never married,35,Obama
Working fulltime,Strong democrat,Extremely liberal,Not too happy,$25000 or more,Yes,White,Female,Graduate,64,Never married,35,Obama
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,68,Divorced,40,Romney
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,Junior college,66,Widowed,Not applicable,Romney
"Unempl, laid off",Not str republican,Extrmly conservative,Not too happy,$15000 - 19999,Yes,Black,Male,High school,43,Never married,Not applicable,Romney
Working fulltime,"Ind,near rep",Moderate,Not too happy,Not applicable,Yes,White,Female,High school,21,Divorced,38,Not applicable
Working parttime,Strong democrat,Slghtly conservative,Very happy,$15000 - 19999,Yes,White,Female,High school,60,Widowed,27,Romney
Keeping house,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,46,Never married,Not applicable,Obama
School,Not str democrat,Conservative,Pretty happy,$6000 to 6999,Yes,White,Male,Junior college,23,Never married,Not applicable,Not applicable
Working parttime,"Ind,near rep",Conservative,Not too happy,Not applicable,Yes,White,Male,Lt high school,33,Never married,89,Not applicable
Retired,Strong democrat,Extremely liberal,Very happy,$3000 to 3999,Yes,White,Male,Graduate,66,Divorced,Not applicable,Obama
Working parttime,Strong democrat,Liberal,Pretty happy,$8000 to 9999,No,Other,Female,Lt high school,43,Divorced,20,Obama
Working parttime,Independent,Moderate,Not too happy,Lt $1000,No,Other,Female,High school,40,Separated,4,Not applicable
Working fulltime,"Ind,near dem",Liberal,Very happy,$25000 or more,Yes,White,Female,Bachelor,59,Married,39,Obama
Retired,Strong democrat,Liberal,Not too happy,Not applicable,Yes,White,Male,High school,66,Divorced,Not applicable,Obama
Keeping house,"Ind,near dem",Don't know,Pretty happy,Not applicable,No,Other,Female,Graduate,42,Separated,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Extremely liberal,Pretty happy,$25000 or more,No,White,Male,Bachelor,54,Married,89,Obama
Working fulltime,Independent,Liberal,Pretty happy,$10000 - 14999,Yes,White,Male,High school,24,Never married,45,Obama
Working fulltime,Not str democrat,Liberal,Not too happy,Not applicable,Yes,White,Female,Junior college,36,Never married,34,Obama
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$10000 - 14999,Yes,White,Male,High school,52,Never married,40,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$6000 to 6999,Yes,White,Male,High school,26,Never married,48,Not applicable
Working parttime,"Ind,near dem",Moderate,Not too happy,$7000 to 7999,Yes,White,Female,High school,64,Divorced,17,Obama
Retired,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,77,Married,Not applicable,Romney
Working fulltime,No answer,No answer,No answer,Refused,No answer,White,Female,No answer,63,Married,40,No answer
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,58,Divorced,40,Romney
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,Bachelor,76,Never married,Not applicable,Obama
Working parttime,Not str republican,Moderate,Not too happy,$5000 to 5999,Yes,White,Male,Bachelor,68,Widowed,16,Not applicable
Retired,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,89 or older,Widowed,Not applicable,Obama
Temp not working,"Ind,near rep",Moderate,Pretty happy,$4000 to 4999,Yes,White,Female,High school,20,Never married,Not applicable,Not applicable
Working fulltime,Strong republican,Conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,63,Married,54,Romney
Keeping house,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,Junior college,57,Never married,Not applicable,Obama
Other,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,66,Divorced,Not applicable,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,63,Widowed,40,Obama
Retired,Independent,Liberal,Very happy,Not applicable,No,White,Male,Graduate,75,Divorced,Not applicable,Obama
Working parttime,Other party,Moderate,Pretty happy,Lt $1000,Yes,White,Female,Graduate,66,Widowed,15,Romney
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,53,Married,50,Obama
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,49,Married,40,Obama
Working fulltime,Strong democrat,Liberal,Very happy,$25000 or more,Yes,White,Male,Graduate,57,Married,40,Obama
Working fulltime,"Ind,near dem",Liberal,Very happy,$25000 or more,Yes,White,Female,High school,41,Divorced,48,Obama
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,42,Never married,45,Obama
Temp not working,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,38,Married,Not applicable,Obama
Other,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,34,Married,Not applicable,Obama
Retired,"Ind,near dem",Moderate,Not too happy,Not applicable,Yes,White,Male,Lt high school,72,Widowed,Not applicable,Not applicable
"Unempl, laid off",Not str democrat,Moderate,Not too happy,$5000 to 5999,Yes,Black,Female,High school,39,Married,Not applicable,Not applicable
"Unempl, laid off",Independent,Moderate,Pretty happy,$15000 - 19999,Yes,White,Female,Lt high school,38,Divorced,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,55,Separated,68,Romney
Retired,Strong democrat,Slightly liberal,Pretty happy,Not applicable,Yes,White,Male,Graduate,85,Married,Not applicable,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$10000 - 14999,Yes,White,Male,High school,32,Never married,37,Obama
Keeping house,Strong democrat,Don't know,Pretty happy,Not applicable,Yes,Black,Female,Bachelor,42,Married,Not applicable,Obama
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,35,Never married,85,Not applicable
Other,Strong democrat,Don't know,Not too happy,Not applicable,Yes,Other,Female,Lt high school,33,Never married,Not applicable,Not applicable
Working fulltime,Not str democrat,Moderate,Not too happy,$20000 - 24999,No,Black,Female,High school,32,Married,40,Not applicable
Working parttime,"Ind,near dem",Slightly liberal,Pretty happy,$15000 - 19999,Yes,White,Female,Graduate,67,Never married,18,Romney
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,28,Never married,50,Obama
Working fulltime,Other party,Conservative,Very happy,$25000 or more,Yes,White,Female,Junior college,59,Married,25,Romney
Retired,Not str democrat,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,57,Married,Not applicable,Obama
Retired,"Ind,near rep",Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,51,Never married,Not applicable,Not applicable
Retired,Not str republican,Moderate,Very happy,$25000 or more,Yes,White,Female,High school,66,Divorced,Not applicable,Not applicable
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,35,Married,40,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Female,Bachelor,28,Married,40,Not applicable
Working fulltime,Not str democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,52,Married,48,Obama
Retired,Strong democrat,Moderate,Not too happy,Not applicable,Yes,White,Male,High school,89 or older,Widowed,Not applicable,Romney
Retired,Not str republican,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,High school,69,Widowed,Not applicable,Romney
Working fulltime,"Ind,near rep",Don't know,Pretty happy,Not applicable,Yes,White,Male,High school,55,Divorced,50,Romney
Working fulltime,"Ind,near rep",Extrmly conservative,Very happy,$25000 or more,Yes,White,Male,High school,48,Married,40,Obama
Retired,Independent,No answer,Very happy,Not applicable,Yes,White,Female,High school,67,Married,Not applicable,No answer
Working fulltime,"Ind,near rep",Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,36,Married,32,Obama
Working fulltime,Not str democrat,Conservative,Very happy,$25000 or more,Yes,White,Female,High school,66,Divorced,40,Obama
Keeping house,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,31,Never married,Not applicable,Obama
Working parttime,Not str republican,Slghtly conservative,Pretty happy,$1000 to 2999,Yes,Black,Female,High school,57,Never married,32,Obama
Other,Strong democrat,Conservative,Not too happy,Not applicable,No,White,Female,High school,48,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Slghtly conservative,Pretty happy,$10000 - 14999,Yes,Black,Female,High school,35,Divorced,40,Obama
"Unempl, laid off",Strong democrat,Liberal,Not too happy,Not applicable,Yes,Other,Female,High school,59,Divorced,Not applicable,Obama
Retired,Not str democrat,Don't know,Not too happy,Not applicable,No,White,Male,Lt high school,59,Never married,Not applicable,Not applicable
Keeping house,Independent,Don't know,Very happy,$10000 - 14999,No,Other,Female,High school,35,Married,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,Refused,Yes,White,Female,High school,52,Divorced,50,Not applicable
Working fulltime,Strong democrat,Extremely liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,37,Divorced,40,Obama
Working fulltime,Independent,Slghtly conservative,Very happy,Refused,Yes,White,Male,High school,35,Never married,62,Not applicable
Working fulltime,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Male,High school,61,Married,50,Romney
Working parttime,Not str democrat,Moderate,Pretty happy,$10000 - 14999,Yes,White,Female,High school,67,Divorced,16,Not applicable
Retired,Strong democrat,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,High school,80,Widowed,Not applicable,Obama
Working fulltime,Strong democrat,Extremely liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,30,Married,40,Obama
Working fulltime,Not str democrat,Slghtly conservative,Very happy,$25000 or more,Yes,Black,Female,Graduate,56,Divorced,35,Obama
Temp not working,Independent,Liberal,Pretty happy,$20000 - 24999,Yes,Black,Male,High school,20,Never married,Not applicable,Not applicable
Working parttime,Not str republican,Conservative,Pretty happy,$15000 - 19999,Yes,White,Female,Bachelor,53,Married,40,Romney
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,Refused,No,White,Female,Graduate,31,Never married,40,No answer
Working fulltime,Strong democrat,Moderate,Very happy,$25000 or more,Yes,White,Female,High school,51,Widowed,60,Obama
Keeping house,"Ind,near rep",Moderate,Very happy,Not applicable,Yes,White,Female,High school,29,Married,Not applicable,Obama
Retired,Not str democrat,Moderate,Very happy,Not applicable,Yes,White,Male,High school,80,Married,Not applicable,Obama
Working parttime,Not str republican,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,Bachelor,67,Divorced,20,Obama
Retired,Strong republican,Conservative,Very happy,Not applicable,Yes,White,Female,Bachelor,61,Married,Not applicable,Obama
Keeping house,Not str democrat,Moderate,Very happy,Not applicable,Yes,White,Female,High school,58,Married,Not applicable,Romney
Working parttime,Strong democrat,Extremely liberal,Very happy,$3000 to 3999,Yes,White,Female,High school,19,Never married,20,Not applicable
School,Independent,Slghtly conservative,Pretty happy,$1000 to 2999,Yes,White,Female,Lt high school,19,Never married,Not applicable,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$20000 - 24999,Yes,Black,Male,High school,25,Never married,40,Obama
Keeping house,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,34,Married,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Extremely liberal,Not too happy,$25000 or more,Yes,Black,Female,High school,37,Divorced,80,Not applicable
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,78,Married,Not applicable,Obama
Retired,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,62,Never married,Not applicable,Not applicable
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$7000 to 7999,Yes,White,Female,Junior college,30,Divorced,50,Not applicable
Other,Strong republican,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,Lt high school,65,Divorced,Not applicable,Not applicable
Working fulltime,Not str republican,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,45,Divorced,47,Obama
Retired,"Ind,near rep",Moderate,Very happy,Not applicable,Yes,White,Male,High school,65,Never married,Not applicable,Romney
Retired,Independent,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,Lt high school,68,Widowed,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,37,Married,56,Not applicable
Other,Other party,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,Lt high school,63,Married,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Moderate,Very happy,$25000 or more,Yes,White,Male,Lt high school,59,Married,40,Not applicable
Retired,Strong republican,Extrmly conservative,Very happy,Not applicable,Yes,White,Male,Bachelor,80,Married,Not applicable,Romney
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Female,Junior college,29,Never married,43,Romney
Working parttime,Independent,Conservative,Pretty happy,$15000 - 19999,Yes,White,Female,High school,57,Married,30,Not applicable
Retired,"Ind,near rep",Conservative,Pretty happy,Not applicable,Yes,White,Female,Graduate,73,Married,Not applicable,Romney
Retired,Independent,Slghtly conservative,Very happy,Not applicable,Yes,White,Male,High school,75,Married,Not applicable,Obama
Retired,Not str democrat,Moderate,Not too happy,Not applicable,Yes,White,Male,High school,74,Divorced,Not applicable,Obama
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,86,Married,Not applicable,Romney
Retired,"Ind,near dem",Liberal,Pretty happy,Not applicable,Yes,White,Female,High school,81,Married,Not applicable,Obama
Working parttime,Strong democrat,Slghtly conservative,Very happy,$10000 - 14999,Yes,White,Female,Lt high school,69,Married,20,Obama
Keeping house,"Ind,near dem",Don't know,Not too happy,Not applicable,Yes,White,Female,High school,59,Widowed,Not applicable,Obama
Retired,Not str republican,Conservative,Pretty happy,Not applicable,Yes,White,Male,High school,59,Married,Not applicable,Romney
Working parttime,"Ind,near rep",Conservative,Pretty happy,$10000 - 14999,Yes,White,Male,High school,68,Married,20,No answer
Working fulltime,Not str republican,Conservative,Very happy,$25000 or more,Yes,White,Female,Bachelor,28,Divorced,54,Romney
Retired,Not str republican,Slghtly conservative,Not too happy,Not applicable,Yes,White,Male,High school,62,Divorced,Not applicable,Not applicable
Working fulltime,"Ind,near dem",Moderate,Very happy,Not applicable,Yes,White,Female,High school,30,Married,33,Obama
Working fulltime,Independent,Moderate,Not too happy,$20000 - 24999,Yes,White,Female,Junior college,30,Never married,40,Not applicable
Other,"Ind,near dem",Liberal,Not too happy,Not applicable,Yes,Black,Male,High school,52,Divorced,Not applicable,Obama
Keeping house,Not str republican,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,Graduate,50,Married,Not applicable,Not applicable
Other,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,62,Married,Not applicable,Romney
Working parttime,Not str republican,Conservative,Pretty happy,$10000 - 14999,Yes,Other,Female,Bachelor,46,Married,30,Romney
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,High school,43,Married,40,Obama
Working fulltime,"Ind,near dem",Moderate,Very happy,$25000 or more,Yes,White,Male,Bachelor,27,Never married,40,Not applicable
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,36,Married,48,Don't know
Working fulltime,Not str democrat,Don't know,Very happy,Not applicable,Yes,White,Male,High school,26,Never married,73,Not applicable
Keeping house,Strong democrat,Liberal,Pretty happy,$10000 - 14999,No,Other,Female,Graduate,50,Married,Not applicable,Not applicable
School,"Ind,near rep",Moderate,Not too happy,Not applicable,Yes,Black,Male,High school,23,Never married,Not applicable,Not applicable
Working fulltime,Not str republican,Conservative,Very happy,Not applicable,Yes,White,Male,Bachelor,27,Married,70,Romney
Working parttime,Not str democrat,Slightly liberal,Pretty happy,$10000 - 14999,No,Other,Female,High school,21,Never married,30,Not applicable
Working fulltime,Other party,Slightly liberal,Not too happy,$5000 to 5999,Yes,White,Female,Bachelor,23,Never married,32,Not applicable
Working parttime,Not str democrat,Liberal,Pretty happy,$20000 - 24999,Yes,White,Female,Graduate,67,Divorced,3,Not applicable
Keeping house,Strong democrat,Extremely liberal,Not too happy,Not applicable,Yes,White,Female,Bachelor,36,Married,Not applicable,Obama
School,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,Junior college,28,Never married,Not applicable,Obama
Working fulltime,"Ind,near dem",Don't know,Pretty happy,$25000 or more,Yes,White,Female,High school,39,Divorced,50,Not applicable
Working fulltime,Not str republican,Slightly liberal,Not too happy,$20000 - 24999,No,Other,Female,Bachelor,47,Separated,43,Not applicable
Working fulltime,Independent,Conservative,Pretty happy,Not applicable,Yes,White,Female,Lt high school,30,Divorced,42,Not applicable
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Male,Graduate,52,Never married,60,Not applicable
Working fulltime,Not str republican,Don't know,Very happy,$20000 - 24999,Yes,White,Female,Lt high school,60,Married,40,Not applicable
Retired,"Ind,near dem",Moderate,Pretty happy,$15000 - 19999,Yes,White,Male,Graduate,66,Never married,Not applicable,Obama
Working parttime,"Ind,near rep",Extremely liberal,Very happy,$4000 to 4999,Yes,White,Male,Lt high school,60,Married,Don't know,Not applicable
Working parttime,"Ind,near dem",Extremely liberal,Not too happy,$5000 to 5999,Yes,White,Female,Junior college,31,Never married,20,Obama
Retired,Strong republican,Conservative,Very happy,$25000 or more,Yes,White,Female,Bachelor,68,Married,Not applicable,Romney
Retired,Independent,Don't know,Very happy,Not applicable,Yes,White,Male,Lt high school,66,Married,Not applicable,Not applicable
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,38,Separated,52,Other candidate (specify)
Working parttime,Strong republican,Extrmly conservative,Very happy,$8000 to 9999,Yes,White,Male,High school,81,Divorced,18,Romney
Working fulltime,Independent,Conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,56,Married,40,Obama
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,42,Divorced,50,Not applicable
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,73,Widowed,Not applicable,Romney
Working parttime,"Ind,near dem",Moderate,Not too happy,Not applicable,Yes,Black,Female,High school,24,Never married,40,Obama
Working fulltime,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,26,Never married,46,Romney
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,Bachelor,50,Divorced,47,Obama
School,"Ind,near dem",Liberal,Pretty happy,Not applicable,Yes,Black,Female,Junior college,19,Never married,Not applicable,Not applicable
Keeping house,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,31,Never married,Not applicable,Romney
Retired,Independent,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,Lt high school,74,Widowed,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,High school,60,Divorced,40,Didn't vote for president
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,84,Widowed,Not applicable,Romney
Keeping house,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,33,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,Lt high school,40,Married,40,Obama
Working fulltime,Strong democrat,Liberal,Very happy,$25000 or more,Yes,Black,Female,Bachelor,59,Married,40,Obama
School,Strong republican,Conservative,Very happy,Not applicable,Yes,White,Male,Lt high school,19,Never married,Not applicable,Not applicable
Retired,"Ind,near dem",Liberal,Very happy,Not applicable,Yes,Black,Male,High school,61,Divorced,Not applicable,No answer
Working fulltime,Independent,Extrmly conservative,Pretty happy,$25000 or more,Yes,White,Female,Lt high school,48,Divorced,40,Not applicable
"Unempl, laid off",Strong democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Female,High school,54,Divorced,Not applicable,Obama
Keeping house,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,Graduate,41,Married,Not applicable,Obama
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,34,Married,40,Not applicable
School,Strong republican,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,High school,19,Never married,Not applicable,Not applicable
Other,Not str republican,Moderate,Not too happy,Not applicable,Yes,White,Male,Lt high school,51,Divorced,Not applicable,Not applicable
"Unempl, laid off",Strong democrat,Extremely liberal,Pretty happy,$25000 or more,Yes,White,Female,Junior college,32,Married,Not applicable,Obama
Working fulltime,Strong republican,Conservative,Very happy,$25000 or more,Yes,White,Male,Junior college,64,Married,40,5
Temp not working,"Ind,near dem",Moderate,Very happy,$25000 or more,Yes,Black,Male,High school,41,Divorced,Not applicable,Obama
Retired,Not str democrat,Moderate,Not too happy,Not applicable,Yes,White,Female,High school,80,Divorced,Not applicable,Obama
"Unempl, laid off",Not str democrat,Moderate,Pretty happy,Refused,Yes,Black,Female,High school,36,Separated,Not applicable,Obama
Working fulltime,Not str democrat,Moderate,Very happy,$25000 or more,Yes,Black,Male,High school,28,Never married,56,Not applicable
Working fulltime,Strong democrat,Conservative,Very happy,$3000 to 3999,No,White,Female,Bachelor,41,Married,40,Not applicable
Working fulltime,Strong democrat,Don't know,Pretty happy,Not applicable,Yes,Black,Male,High school,46,Divorced,36,Obama
Temp not working,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,Yes,Black,Female,Bachelor,45,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,High school,35,Never married,24,Obama
"Unempl, laid off",Strong democrat,Slghtly conservative,Not too happy,Not applicable,Yes,Black,Female,High school,51,Married,Not applicable,Obama
Retired,Independent,Conservative,Pretty happy,Not applicable,Yes,White,Male,Lt high school,76,Widowed,Not applicable,Obama
Working fulltime,Independent,Moderate,Not too happy,$7000 to 7999,Yes,Black,Female,High school,26,Never married,39,Not applicable
Keeping house,"Ind,near dem",Conservative,Not too happy,$1000 to 2999,Yes,Black,Female,High school,31,Never married,Not applicable,Obama
Working fulltime,Strong democrat,Extrmly conservative,Pretty happy,$20000 - 24999,Yes,Black,Male,High school,62,Separated,40,Obama
School,Not str democrat,Moderate,Not too happy,$1000 to 2999,Yes,Black,Male,High school,19,Never married,Not applicable,Not applicable
Working parttime,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,High school,18,Never married,17,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,$25000 or more,Yes,Black,Female,Junior college,55,Never married,40,Obama
